Applicants,,"aAmerican Indian 
or Alaska Native",aAsian,"aBlack or 
African American","aHispanic, Latino, or 
of Spanish Origin ","aNative Hawaiian or 
Other Pacific Islander",aWhite,aOther,"aMultiple 
Race/Ethnicity","aUnknown  
Race/Ethnicity",aNon-U.S. Citizen and Non-Permanent Resident,aTotal,"mAmerican Indian 
or Alaska Native",mAsian,"mBlack or 
African American","mHispanic, Latino, or 
of Spanish Origin ","mNative Hawaiian or 
Other Pacific Islander",mWhite,mOther,"mMultiple 
Race/Ethnicity","mUnknown  
Race/Ethnicity",mNon-U.S. Citizen and Non-Permanent Resident,mTotal
MCAT CPBS,Mean,124.6,127.2,124.1,124.9,125.7,126.5,126.2,125.9,126.8,127.1,126.3,126.2,128.6,126.1,126.4,127.5,127.8,127.7,127.4,128.1,128.6,127.7
,SD,2.6,2.6,2.7,2.7,2.9,2.5,2.7,2.7,2.6,2.8,2.7,2.3,1.9,2.1,2.2,2.0,2.0,2.2,2.1,2.1,2.2,2.1
MCAT CARS,Mean,124.4,126.1,123.8,124.3,125.3,126.4,125.2,125.6,126.5,125.4,125.9,125.9,127.4,125.5,125.5,127.1,127.5,126.7,126.9,127.4,126.9,127.1
,SD,2.5,2.7,2.6,2.7,3.0,2.5,2.8,2.7,2.5,2.7,2.7,2.6,2.2,2.3,2.5,2.2,2.2,2.4,2.3,2.2,2.3,2.3
MCAT BBLS,Mean,124.9,127.2,124.4,125.3,125.7,126.9,126.4,126.3,126.9,127.3,126.6,126.8,128.6,126.5,127.0,127.8,128.2,128.1,127.8,128.2,128.8,128.0
,SD,2.7,2.6,2.7,2.7,3.3,2.5,2.7,2.7,2.5,2.8,2.7,2.2,1.9,2.0,2.1,2.6,2.0,2.1,2.1,1.9,2.2,2.1
MCAT PSBB,Mean,124.7,127.4,124.8,125.4,126.0,127.2,126.6,126.5,127.3,127.1,126.8,126.7,128.9,127.0,127.0,127.8,128.4,128.4,128.1,128.6,128.7,128.3
,SD,2.8,2.6,2.8,2.9,3.3,2.5,2.8,2.8,2.5,2.9,2.7,2.1,1.9,2.0,2.3,2.4,2.0,2.0,2.1,1.9,2.1,2.1
Total MCAT,Mean,498.6,507.9,497.1,499.9,502.8,507.1,504.3,504.4,507.5,506.9,505.6,505.7,513.4,505.1,506.0,510.2,511.9,511.0,510.1,512.3,513.1,511.2
,SD,9.00,8.90,9.10,9.40,11.20,8.20,9.30,9.30,8.10,9.60,9.3,6.80,5.80,6.10,7.00,7.30,5.90,6.50,6.50,5.80,6.80,6.5
GPA Science,Mean,3.23,3.51,3.13,3.30,3.31,3.54,3.43,3.40,3.43,3.54,3.47,3.58,3.71,3.38,3.51,3.66,3.70,3.65,3.59,3.65,3.74,3.65
,SD,0.64,0.41,0.49,0.46,0.57,0.37,0.44,0.45,0.43,0.46,0.43,0.37,0.26,0.39,0.34,0.29,0.27,0.32,0.33,0.31,0.28,0.30
GPA Non-Science,Mean,3.55,3.73,3.54,3.62,3.53,3.75,3.71,3.68,3.66,3.73,3.71,3.75,3.83,3.67,3.72,3.67,3.82,3.81,3.77,3.79,3.83,3.80
,SD,0.43,0.26,0.34,0.32,0.45,0.26,0.29,0.30,0.33,0.29,0.28,0.28,0.17,0.29,0.26,0.41,0.20,0.20,0.23,0.22,0.20,0.21
GPA Total,Mean,3.38,3.60,3.31,3.43,3.39,3.63,3.55,3.52,3.53,3.62,3.57,3.66,3.76,3.51,3.60,3.64,3.75,3.72,3.67,3.72,3.78,3.72
,SD,0.51,0.32,0.39,0.37,0.49,0.29,0.34,0.35,0.35,0.35,0.34,0.30,0.20,0.31,0.27,0.31,0.21,0.24,0.26,0.25,0.23,0.24
Total Applicants     ,,109,"11,218","4,430","3,297",53,"24,686","1,167","4,856","1,013","1,948","52,777",39,"4,787","1,540","1,350",23,"10,783",381,"2,045",394,280,"21,622"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
