State,Medical School,apps,appinstate,appoutstate,apctmen,apctwomen,matriculants,mpctinstate,mpctoutstate,mpctmen,mpctwomen
,,,,,,,,,,,
AL,Alabama,"4,581",12,88,49.6,50.4,186,86.6,13.4,56.5,43.5
,South Alabama,"1,604",29.5,70.5,51.1,48.9,74,93.2,6.8,52.7,47.3
AR,Arkansas,"2,405",14.2,85.8,51.9,48.1,173,92.5,7.5,53.8,46.2
AZ,Arizona,"9,530",8.8,91.2,50.8,49.1,117,73.5,26.5,47.9,52.1
,Arizona Phoenix,"6,784",11.9,88.1,50.8,49.1,80,71.3,28.8,45,55
CA,California,"2,419",36.8,63.2,50.7,49.3,64,75,25,51.6,48.4
,California Northstate,"4,768",57.4,42.6,48.4,51.6,96,92.7,7.3,52.1,47.9
,Loma Linda,"5,510",40.5,59.5,50.6,49.4,168,47,53,47.6,52.4
,Southern Cal-Keck,"8,353",48.8,51.2,50.8,49.2,186,76.9,23.1,47.8,52.2
,Stanford,"6,894",34.1,65.9,52.8,47.1,90,45.6,54.4,52.2,47.8
,UC Davis,"7,553",62.8,37.2,48.7,51.3,119,97.5,2.5,36.1,63.9
,UC Irvine,"6,369",72,28,50.6,49.3,104,88.5,11.5,46.2,53.8
,UC Riverside,"5,556",74.6,25.4,49.4,50.5,70,100,0,50,50
,UC San Diego,"7,237",58,42,51,49,134,82.1,17.9,43.3,56.7
,UC San Francisco,"7,813",46,54,51,48.9,165,78.8,21.2,47.3,52.7
,UCLA-Geffen,"14,503",42.4,57.6,49.3,50.6,175,71.4,28.6,46.3,53.7
CO,Colorado,"7,347",9.9,90.1,53,47,184,48.9,51.1,47.8,52.2
CT,Connecticut,"3,107",15.5,84.5,46.3,53.6,106,73.6,26.4,43.4,56.6
,Quinnipiac-Netter,"6,564",5.4,94.6,49.8,50.2,98,26.5,73.5,42.9,57.1
,Yale,"5,906",4,96,51.8,48.1,104,4.8,95.2,51.9,48.1
DC,George Washington,"14,004",0.5,99.5,47.4,52.6,180,3.3,96.7,37.2,62.8
,Georgetown,"13,679",0.5,99.5,49,50.9,200,3,97,49.5,50.5
,Howard,"9,167",0.5,99.5,41.6,58.4,120,4.2,95.8,41.7,58.3
FL,FIU-Wertheim,"4,873",50.8,49.2,49.5,50.4,120,80.8,19.2,50,50
,Florida,"4,555",52.7,47.3,51.3,48.6,134,84.3,15.7,50,50
,Florida Atlantic-Schmidt,"3,414",63.3,36.7,50.2,49.7,65,84.6,15.4,53.8,46.2
,Florida State,"7,178",37.7,62.3,48.1,51.8,120,99.2,0.8,42.5,56.7
,Miami-Miller,"8,497",25.5,74.5,53.6,46.3,205,53.7,46.3,42,58
,Nova Southeastern-Patel,"1,965",44.8,55.2,51.6,48.2,53,54.7,45.3,52.8,47.2
,UCF,"5,265",46.3,53.7,50.8,49.2,120,71.7,28.3,55.8,44.2
,USF-Morsani,"6,006",42.5,57.5,51.6,48.3,178,62.4,37.6,50.6,49.4
GA,Emory,"9,440",8.3,91.7,49.7,50.3,136,25.7,74.3,43.4,56.6
,MC Georgia Augusta,"3,109",39.9,60.1,47.2,52.8,230,97.4,2.6,51.3,48.7
,Mercer,"1,127",99.6,0.4,49.1,50.9,122,100,0,53.3,46.7
,Morehouse,"6,784",11.3,88.7,41.1,58.9,100,63,37,52,48
HI,Hawaii-Burns,"2,050",11.7,88.3,52,47.9,72,75,25,55.6,44.4
IA,Iowa-Carver,"3,871",9.5,90.5,55.7,44.3,152,65.1,34.9,49.3,50.7
IL,Carle Illinois,"1,063",21.5,78.5,56.8,43.1,32,12.5,87.5,50,50
,Chicago Med Franklin,"12,489",11.9,88.1,48.1,51.9,189,55.6,44.4,56.6,43.4
,Chicago-Pritzker,"5,203",12.6,87.4,52.5,47.5,90,25.6,74.4,44.4,55.6
,Illinois,"6,654",28.3,71.7,48.1,51.9,310,86.8,13.2,52.9,47.1
,Loyola-Stritch,"15,015",11.5,88.5,48.1,51.9,165,30.9,69.1,35.2,64.8
,Northwestern-Feinberg,"7,089",12.9,87.1,51.8,48.1,160,23.1,76.9,51.3,48.8
,Rush,"9,099",16.5,83.5,47.5,52.5,144,36.1,63.9,48.6,51.4
,Southern Illinois,"1,178",96.6,3.4,51,49,71,100,0,52.1,47.9
IN,Indiana,"6,956",11.2,88.8,54.3,45.7,360,82.2,17.8,53.1,46.9
KS,Kansas,"3,155",17.1,82.9,53.1,46.9,211,89.1,10.9,48.8,51.2
KY,Kentucky,"2,660",18.2,81.8,54.2,45.7,166,89.2,10.8,48.8,51.2
,Louisville,"3,558",13.3,86.7,54.6,45.3,162,71,29,56.8,43.2
LA,LSU New Orleans,"3,379",21.9,78.1,46.8,53.2,192,91.7,8.3,53.6,46.4
,LSU Shreveport,"1,959",34.8,65.2,47.4,52.6,136,97.1,2.9,48.5,51.5
,Tulane,"12,102",3.7,96.3,49.1,50.9,191,15.2,84.8,51.8,48.2
MA,Boston,"9,132",9.1,90.9,48.2,51.7,160,19.4,80.6,50,50
,Harvard,"7,645",7.5,92.5,53.4,46.5,165,15.2,84.8,42.4,57.6
,Massachusetts,"3,914",26.3,73.7,46.2,53.7,162,67.3,32.7,39.5,60.5
,Tufts,"12,106",7.9,92.1,48.1,51.9,200,25,75,47.5,52.5
MD,Johns Hopkins,"6,322",6.5,93.5,52.6,47.3,118,9.3,90.7,42.4,57.6
,Maryland,"4,854",19,81,49.8,50.2,156,74.4,25.6,39.7,60.3
,Uniformed Services-Hebert,"3,288",6.1,93.9,61.1,38.9,173,9.8,90.2,56.1,43.9
MI,Central Michigan,"7,199",19.3,80.7,48.4,51.5,99,78.8,21.2,48.5,51.5
,Michigan,"7,533",17.4,82.6,53.4,46.5,168,46.4,53.6,35.1,64.9
,Michigan State,"6,441",26.2,73.8,49.4,50.6,190,71.1,28.9,38.9,61.1
,Oakland Beaumont,"8,460",18,82,50.4,49.6,123,47.2,52.8,51.2,48
,Wayne State,"8,652",20.4,79.6,51,49,288,63.9,36.1,48.6,51.4
,Western Michigan-Stryker,"3,823",32.7,67.3,51.2,48.7,84,41.7,58.3,51.2,48.8
MN,Mayo,"9,021",5.8,94.2,55.7,44.3,103,3.9,96.1,53.4,46.6
,Minnesota,"5,874",16.2,83.8,51.2,48.7,240,85.4,14.6,43.8,56.3
MO,Missouri Columbia,"2,671",20.8,79.2,49.2,50.7,112,84.8,15.2,47.3,52.7
,Missouri Kansas City,"1,717",15.5,84.5,52.1,47.8,115,62.6,37.4,37.4,62.6
,Saint Louis,"7,350",6.1,93.9,53.9,46.1,177,19.2,80.8,52,48
,Washington U St Louis,"4,663",4.6,95.4,54,46,124,6.5,93.5,50,50
MS,Mississippi,446,100,0,53.1,46.9,165,100,0,54.5,45.5
NC,Duke,"8,141",6.8,93.2,52.1,47.9,129,18.6,81.4,41.9,58.1
,East Carolina-Brody,"1,074",99.9,0.1,48.8,51.2,86,100,0,45.3,54.7
,North Carolina,"6,921",15.8,84.2,49.9,50,190,80,20,47.4,52.6
,Wake Forest,"10,449",9.2,90.8,50.9,49.1,140,32.1,67.9,50,50
ND,North Dakota,"1,388",11,89,50.1,49.9,77,62.3,37.7,50.6,49.4
NE,Creighton,"6,245",2.4,97.6,55.3,44.7,167,5.4,94.6,49.1,50.9
,Nebraska,"1,865",15.2,84.8,51.1,48.8,126,88.1,11.9,57.1,42.9
NH,Dartmouth-Geisel,"7,209",1.2,98.8,51.5,48.4,92,8.7,91.3,45.7,54.3
NJ,Cooper Rowan,"6,690",18.5,81.5,46.4,53.6,107,68.2,31.8,52.3,47.7
,Rutgers New Jersey,"4,993",29.8,70.2,46.7,53.2,178,81.5,18.5,50.6,49.4
,Rutgers-RW Johnson,"5,476",27.1,72.9,45.7,54.2,179,79.3,20.7,46.9,53.1
,SHU-Hackensack Meridian,"2,100",24.8,75.2,52.5,47.5,60,50,50,56.7,43.3
NM,New Mexico,"1,644",17.6,82.4,49.2,50.7,103,90.3,9.7,34,66
NV,Nevada Las Vegas,"1,170",26.8,73.2,54.3,45.7,60,86.7,13.3,50,50
,Nevada Reno,"1,368",22.5,77.5,54.1,45.8,70,81.4,18.6,42.9,57.1
NY,Albany,"9,889",18.9,81.1,50.8,49.2,140,29.3,70.7,41.4,58.6
,Buffalo-Jacobs,"3,695",53.6,46.4,50.6,49.3,180,88.3,11.7,51.7,48.3
,CUNY,82,100,0,35.4,64.6,82,100,0,35.4,64.6
,Columbia-Vagelos,"7,483",15.4,84.6,50.4,49.5,138,31.2,68.8,54.3,45.7
,Cornell-Weill,"5,992",18.9,81.1,51.4,48.6,106,28.3,71.7,48.1,51.9
,Einstein,"7,052",22,78,51,49,183,41.5,58.5,46.4,53.6
,Mount Sinai-Icahn,"6,156",21.5,78.5,47.8,52.2,140,33.6,66.4,52.1,47.9
,New York Medical,"11,649",17.6,82.4,49.1,50.8,210,41.4,58.6,44.8,55.2
,New York University,"6,056",19.3,80.7,49.4,50.5,101,30.7,69.3,42.6,57.4
,Rochester,"5,324",24.4,75.6,52.1,47.8,103,37.9,62.1,47.6,52.4
,SUNY Downstate,"5,390",44.6,55.4,46.9,53,203,80.3,19.7,50.2,49.8
,SUNY Upstate,"4,299",49.9,50.1,48.2,51.7,169,82.2,17.8,52.7,47.3
,Stony Brook,"4,816",45.7,54.3,48.9,51.1,136,60.3,39.7,50,50
,Zucker Hofstra Northwell,"5,342",31.2,68.8,49.8,50.1,99,58.6,41.4,50.5,49.5
OH,Case Western Reserve,"6,645",11.4,88.6,53.8,46.1,215,14.9,85.1,45.6,54.4
,Cincinnati,"4,311",25.7,74.3,54.9,45.1,179,48.6,51.4,43,57
,Northeast Ohio,"3,426",27.8,72.2,48.9,51,145,93.8,6.2,46.9,52.4
,Ohio State,"7,163",16.4,83.6,54.3,45.6,202,50.5,49.5,47.5,52.5
,Toledo,"3,644",30.6,69.4,54.3,45.7,175,72,28,46.3,53.7
,Wright State-Boonshoft,"5,171",21.7,78.3,49.6,50.3,120,55,45,43.3,56.7
OK,Oklahoma,"2,281",16.7,83.3,52.7,47.3,165,89.7,10.3,58.8,41.2
OR,Oregon,"6,522",7.2,92.8,49.6,50.3,160,66.9,33.1,43.1,55.6
PA,Drexel,"13,529",8.5,91.5,48.7,51.2,256,38.3,61.7,50.4,49.6
,Geisinger Commonwealth,"5,065",18.1,81.9,49.6,50.4,110,71.8,28.2,52.7,47.3
,Jefferson-Kimmel,"9,907",11.1,88.9,50.4,49.5,268,31,69,51.1,48.9
,Penn State,"10,655",10.8,89.2,50.4,49.5,152,39.5,60.5,51.3,48.7
,Pennsylvania-Perelman,"6,711",9.5,90.5,51.2,48.7,152,19.1,80.9,46.7,53.3
,Pittsburgh,"6,874",12.3,87.7,53,46.9,162,34.6,65.4,42.6,56.8
,Temple-Katz,"10,063",11.7,88.3,49.4,50.5,200,46,54,46,54
PR,Caribe,"1,065",43.2,56.8,49,50.9,75,89.3,10.7,56,44
,Ponce,"1,474",32.2,67.8,49.3,50.6,94,71.3,28.7,57.4,42.6
,Puerto Rico,806,55.1,44.9,49.3,50.6,110,98.2,1.8,59.1,40.9
,San Juan Bautista,"1,347",30.4,69.6,46.9,53,61,67.2,32.8,36.1,63.9
RI,Brown-Alpert,"6,988",1,99,46,54,143,7.7,92.3,49.7,50.3
SC,MU South Carolina,"4,294",14.1,85.9,45.9,54.1,171,88.3,11.7,55,45
,South Carolina,"4,456",11.4,88.6,46.7,53.3,100,75,25,50,50
,South Carolina Greenville,"3,726",14.8,85.2,46.3,53.7,104,69.2,30.8,37.5,62.5
SD,South Dakota-Sanford,824,19.1,80.9,51.6,48.4,67,85.1,14.9,64.2,35.8
TN,East Tennessee-Quillen,"2,251",29.2,70.8,49.5,50.5,72,87.5,12.5,41.7,58.3
,Meharry,"7,068",4.3,95.7,40.7,59.3,113,15,85,46,54
,Tennessee,"1,941",38.8,61.2,51.8,48.2,170,94.7,5.3,57.6,42.4
,Vanderbilt,"5,636",5.3,94.7,52.3,47.7,93,10.8,89.2,48.4,51.6
TX,Baylor,"7,618",23.9,76.1,50.7,49.3,186,83.3,16.7,47.3,52.7
,Texas A & M,"4,869",77.8,22.2,50.4,49.5,126,93.7,6.3,50.8,49.2
,Texas Tech,"4,647",78.3,21.7,51.2,48.8,180,90.6,9.4,42.2,57.8
,Texas Tech-Foster,"3,982",82.2,17.8,50.7,49.2,100,97,3,49,51
,UT Austin-Dell,"4,790",77.1,22.9,50.3,49.7,50,90,10,36,64
,UT Houston-McGovern,"5,152",76.1,23.9,50,49.9,240,95.4,4.6,46.3,53.8
,UT Medical Branch,"4,987",78.4,21.6,50.4,49.5,230,96.5,3.5,50.4,49.6
,UT Rio Grande Valley,"4,136",80.2,19.8,50.6,49.3,54,92.6,7.4,51.9,48.1
,UT San Antonio-Long,"5,241",75.3,24.7,50.4,49.6,216,84.3,15.7,53.7,46.3
,UT Southwestern,"5,164",73.8,26.2,51,48.9,230,83.9,16.1,49.6,50.4
UT,Utah,"4,227",12.9,87.1,55.4,44.5,125,72,28,48.8,50.4
VA,Eastern Virginia,"5,590",20,80,52.3,47.6,151,52.3,47.7,51.7,48.3
,Virginia,"4,729",18.7,81.3,53.4,46.6,156,44.2,55.8,55.1,44.9
,Virginia Commonwealth,"8,138",14.3,85.7,51.6,48.4,184,57.1,42.9,47.8,52.2
,Virginia Tech Carilion,"3,972",20.2,79.8,52.5,47.5,43,46.5,53.5,51.2,48.8
VT,Vermont-Larner,"5,607",1.7,98.3,52.1,47.9,119,24.4,75.6,33.6,65.5
WA,U Washington,"9,024",10.6,89.4,49.4,50.6,271,51.3,48.7,43.9,56.1
,Washington State-Floyd,"1,194",67.1,32.9,51.3,48.7,60,95,5,40,60
WI,MC Wisconsin,"7,611",9.5,90.5,53.4,46.6,250,55.6,44.4,45.6,54.4
,Wisconsin,"5,458",12.4,87.6,54.3,45.7,171,71.9,28.1,59.1,40.9
WV,Marshall-Edwards,"1,996",9.5,90.5,48.4,51.6,79,78.5,21.5,45.6,54.4
,West Virginia,"5,288",4.3,95.7,55,45,112,66.1,33.9,51.8,48.2
Total,,"849,678",22.7,77.3,50.3,49.7,"21,622",60.6,39.4,48.3,51.6
